2020-07-21 21:48:18.669230,[[68089.1]]
2020-07-21 21:51:48.679586,[[68089.1]]
2020-07-21 21:54:43.845269,[[68089.1]]
2020-07-22 10:50:26.009942,[[30279.666]]
2020-07-22 11:50:26.635339,[[30279.666]]
2020-07-22 13:04:30.377569,[[37448.066]]
2020-07-22 13:50:45.663157,[[37448.066]]
2020-07-22 14:50:41.495390,[[41834.023]]
2020-07-22 15:50:48.289550,[[75184.6]]
2020-07-22 16:50:40.023314,[[91860.1]]
2020-07-22 17:50:38.748247,[[93415.9]]
2020-07-22 18:50:49.776267,[[63478.074]]
2020-07-22 19:50:47.099972,[[57756.992]]
2020-07-22 20:51:07.662924,[[48615.76]]
2020-07-22 21:50:49.089608,[[35145.426]]
2020-07-22 22:50:41.435613,[[25449.516]]
2020-07-22 23:50:42.562891,[[23366.244]]
2020-07-23 01:16:13.323208,[[20846.379]]
2020-07-23 09:55:17.664783,[[62131.24]]
2020-07-23 13:05:28.952167,[[40082.47]]
2020-07-23 14:50:39.242207,[[59322.34]]
2020-07-23 16:27:28.753372,[[87724.5]]
2020-07-23 16:59:09.709882,[[93591.81]]
2020-07-23 17:00:17.654194,[[93591.81]]
2020-07-23 17:50:43.027677,[[93591.81]]
2020-07-23 19:50:52.270014,[[87511.055]]
2020-07-23 20:51:00.686957,[[94882.625]]
2020-07-23 21:50:45.134807,[[101436.67]]
2020-07-23 22:50:43.923041,[[102442.93]]
2020-07-23 23:50:40.620852,[[103611.47]]
2020-07-24 10:12:28.672044,[[55728.133]]
2020-07-24 11:00:56.872020,[[46797.06]]
2020-07-24 11:51:11.882160,[[46797.06]]
2020-07-24 13:07:10.031256,[[75899.21]]
2020-07-24 13:58:15.396381,[[67657.03]]
2020-07-24 14:50:42.077556,[[67657.03]]
2020-07-24 15:51:21.113764,[[67283.57]]
2020-07-24 16:59:26.724608,[[86799.7]]
2020-07-24 17:50:56.587777,[[86799.7]]
2020-07-24 18:50:53.991815,[[84249.57]]
2020-07-24 19:50:50.357360,[[72248.84]]
2020-07-24 20:51:06.267721,[[76107.445]]
2020-07-24 21:50:48.081081,[[76015.39]]
2020-07-24 22:50:41.969286,[[64933.887]]
2020-07-24 23:50:46.354378,[[55042.71]]
2020-07-25 01:12:31.349074,[[16365.409]]
2020-07-25 02:50:54.003677,[[-8161.8784]]
2020-07-25 03:50:39.854813,[[77542.84]]
2020-07-25 04:50:41.146520,[[130757.3]]
2020-07-25 05:50:50.995764,[[103276.26]]
2020-07-25 06:50:49.678133,[[61413.996]]
2020-07-25 07:51:04.464109,[[70578.54]]
2020-07-25 09:50:47.037232,[[24376.377]]
2020-07-25 10:50:48.975158,[[43328.01]]
2020-07-25 11:50:40.662195,[[48876.27]]
2020-07-25 13:09:00.757141,[[41134.81]]
2020-07-25 13:57:11.198508,[[42895.023]]
2020-07-25 19:54:20.717516,[[-8259.943]]
2020-07-25 19:55:40.205374,[[-8259.943]]
2020-07-25 20:51:02.107025,[[-6436.9536]]
2020-07-25 21:50:50.014262,[[59.36882]]
2020-07-25 22:50:50.774402,[[18565.033]]
2020-07-25 23:50:43.318374,[[37600.56]]
2020-07-26 01:35:14.854637,[[89291.87]]
2020-07-26 10:50:47.283847,[[105414.016]]
2020-07-26 11:50:41.262219,[[101917.53]]
2020-07-26 12:50:50.174582,[[149540.5]]
2020-07-26 13:50:50.655738,[[92636.164]]
2020-07-26 14:50:47.074141,[[93079.945]]
2020-07-26 18:25:46.158311,[[78004.02]]
2020-07-26 19:50:54.110476,[[95336.836]]
2020-07-26 20:51:03.280614,[[98637.87]]
2020-07-26 21:50:48.220539,[[65078.062]]
2020-07-26 22:52:53.454335,[[45071.89]]
